key,latitude,longitude,jun,sep,dez
610,41.8674561,-87.6265309,152,74,164
611,41.8674561,-87.6253247,180,168,183
612,41.8674561,-87.6241184,270,297,294
613,41.8674561,-87.6229121,400,505,346
614,41.8674561,-87.6217058,404,489,360
615,41.8674561,-87.6204996,186,145,134
616,41.8674561,-87.6192933,104,30,89
617,41.8674561,-87.618087,8,0,0
618,41.8674561,-87.6168807,0,0,0
619,41.8674561,-87.6156744,0,0,0
620,41.8674561,-87.6144682,720,540,360
621,41.8674561,-87.6132619,720,540,360
622,41.8683544,-87.6398,720,540,360
623,41.8683544,-87.6385937,720,540,360
624,41.8683544,-87.6373874,0,0,0
625,41.8683544,-87.6361812,62,0,9
626,41.8683544,-87.6349749,127,0,0
627,41.8683544,-87.6337686,109,99,47
628,41.8683544,-87.6325623,355,246,161
629,41.8683544,-87.6313561,720,540,360
630,41.8683544,-87.6301498,27,44,0
631,41.8683544,-87.6289435,521,418,358
632,41.8683544,-87.6277372,113,406,360
633,41.8683544,-87.6265309,720,540,360
634,41.8683544,-87.6253247,720,540,360
635,41.8683544,-87.6241184,227,290,315
636,41.8683544,-87.6229121,144,257,284
637,41.8683544,-87.6217058,76,206,250
638,41.8683544,-87.6204996,0,155,147
639,41.8683544,-87.6192933,0,121,47
640,41.8683544,-87.618087,0,81,2
641,41.8683544,-87.6168807,0,45,0
642,41.8683544,-87.6156744,19,17,0
643,41.8683544,-87.6144682,0,0,0
644,41.8683544,-87.6132619,0,0,0
645,41.8692527,-87.6398,720,540,360
646,41.8692527,-87.6385937,720,540,360
647,41.8692527,-87.6373874,0,0,0
648,41.8692527,-87.6361812,720,540,360
649,41.8692527,-87.6349749,0,0,36
650,41.8692527,-87.6337686,79,0,53
651,41.8692527,-87.6325623,433,382,224
652,41.8692527,-87.6313561,720,540,360
653,41.8692527,-87.6301498,232,6,5
654,41.8692527,-87.6289435,125,40,155
655,41.8692527,-87.6277372,193,141,102
656,41.8692527,-87.6265309,308,540,356
657,41.8692527,-87.6253247,379,517,360
658,41.8692527,-87.6241184,120,247,278
659,41.8692527,-87.6229121,50,129,224
660,41.8692527,-87.6217058,24,68,214
661,41.8692527,-87.6204996,0,34,149
662,41.8692527,-87.6192933,0,31,75
663,41.8692527,-87.618087,0,3,33
664,41.8692527,-87.6168807,0,0,0
665,41.8692527,-87.6156744,0,0,0
666,41.8692527,-87.6144682,0,0,0
667,41.8692527,-87.6132619,0,0,0
